Line,Source Code,AST Nodes,Explanations
1,// Complex C++ example with classes and methods,,
2,class Calculator {,CXXConstructorDecl; CXXRecordDecl,
3,private:,AccessSpecDecl,
4,    int value;,FieldDecl,
5,,,
6,public:,AccessSpecDecl,
7,    Calculator(int initial) : value(initial) {},CXXConstructorDecl,
8,,,
9,"    int add(int a, int b) {",ParmVarDecl; CXXMethodDecl,
10,        return a + b;,ReturnStmt,
11,    },,
12,,,
13,"    int multiply(int a, int b) {",ParmVarDecl; CXXMethodDecl,
14,        return a * b;,ReturnStmt,
15,    },,
16,,,
17,    void setValue(int newValue) {,ParmVarDecl; CXXMethodDecl,
18,        value = newValue;,BinaryOperator,
19,    },,
20,,,
21,    int getValue() const {,CXXMethodDecl; CompoundStmt,
22,        return value;,ReturnStmt,
23,    },,
24,};,,
25,,,
26,int main() {,FunctionDecl; CompoundStmt,
27,    Calculator calc(10);,DeclStmt,
28,,,
29,    int x = 5;,DeclStmt,
30,    int y = 3;,DeclStmt,
31,,,
32,    if (x > y) {,IfStmt; BinaryOperator,
33,"        int result = calc.add(x, y);",DeclStmt,
34,        calc.setValue(result);,CXXMemberCallExpr,
35,    } else {,CompoundStmt,
36,"        int result = calc.multiply(x, y);",DeclStmt,
37,        calc.setValue(result);,CXXMemberCallExpr,
38,    },,
39,,,
40,    for (int i = 0; i < 3; i++) {,ForStmt; DeclStmt,
41,        int current = calc.getValue();,DeclStmt,
42,        calc.setValue(current + 1);,CXXMemberCallExpr,
43,    },,
44,,,
45,    return calc.getValue();,ReturnStmt,
46,},,
